title,address,description,price,date,seller,image 
2 bedroom penthouse for sale,"Marylebone Square, Marylebone, London, W1U","A 3 bedroom corner apartment with dual aspect and balcony, located on the 2nd floor located in one of Marylebone's finest and most exciting new developments available for sale.","£6,060,000",16/01/2020,"Jaffray Estates, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69492/88447145/69492_A403_IMG_00_0000_max_476x317.jpg
2 bedroom apartment for sale,Marylebone Square,Intricately engineered architecture. Sensitively designed apartments. A thoughtfully built home. Welcome to Marylebone Square's Penthouses.,"£6,060,000",27/02/2020,"Nest Seekers International , London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/193k/192446/77762164/192446_NEST_RM_192446_1313834_IMG_01_0000_max_476x317.jpg
4 bedroom apartment for sale,"Chelsea Waterfront, The Tower, One Waterfront Drive, London, SW10",This beautiful four bedroom apartment is located on the 19th Floor of Tower West with breath taking views of the River Thames.,"£6,031,000",28/08/2019,"Savills New Homes, Margaret Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48985/73791934/48985_LAD151773_IMG_02_0000_max_476x317.jpg
6 bedroom detached house for sale,"Forest Ridge, Keston Park","Sitting on one of Keston Parks largest plots, High trees is a substantial Residence with accommodation of around 11,500 square Ft, on the market for the first time in many years. Built in a Colonial style and set behind electric gates well into its plot. This substantial six bedroom property is...","£6,000,000",25/02/2020,"Alan de Maid, Locksbottom",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4888/85045709/4888_FAT190223_IMG_01_0000_max_476x317.jpg
6 bedroom semi-detached house for sale,"Warwick Avenue, London, W2","Double Fronted Detached House in Little Venice for Sale. A very handsome low built house with garden and canal views for sale on Warwick Avenue. A white stucco fronted Regency house located in the Heart of Little Venice. The property comprises 3,546sqft of family accommodation and is found in...","£6,000,000",16/06/2020,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/72605551/65830_SJW180234_IMG_01_0000_max_476x317.jpg
3 bedroom terraced house for sale,"Fernshaw Road, Chelsea, London SW10","A stunning 3 bedroom house for sale of approx. 3345 Sq.ft (362 sq.m). This spacious home offers versatile accommodation over 4 floors plus loft of approx. 550 sq,ft (51 sq.m). Flooded with natural light throughout and designed and finished to the highest specifications the accommodation comprises...","£6,000,000",yesterday,"Garton Jones, Chelsea & Belgravia",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161456/95952395/161456_29896103_IMG_01_0000_max_476x317.jpg
2 bedroom apartment for sale,"Dunraven Street, Mayfair, W1K","A beautiful and stylish penthouse apartment which has been newly refurbished, with large entertaining spaces and a spectacular private roof terrace. ","£6,000,000",16/07/2020,"Sandersons, Holland Park & Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/87k/86681/84861779/86681_SHP0023F1_IMG_18_0000_max_476x317.JPG
3 bedroom flat for sale,"Dunraven Street, Mayfair, London, W1K.","2 bedroom penthouse with terrace for sale in Mayfair W1K A beautiful and stylish 2 bedroom penthouse apartment which has been newly refurbished with large entertaining spaces and a spectacularly large private roof terrace.
EPC: E. Set within a Grade II listed blue plaque property which was form...","£6,000,000",11/05/2018,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/65431070/65815_WER160166_IMG_16_0002_max_476x317.jpg
3 bedroom penthouse for sale,"The Penthouse @ Dunraven St, Mayfair, W1","Outstanding Brand Newly Developed Three Bedroom Penthouse, With Large 38 Ft Roof Terrace, Affording Wonderful Views Over Surrounding Mayfair.","£6,000,000",20/10/2017,"Knightsbridge, Estate Agents",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/112k/111955/51177603/111955_416_IMG_02_0000_max_476x317.jpg
6 bedroom detached house for sale,"Warwick Avenue, Little Venice",A white stucco fronted family home situated in the heart of Little Venice overlooking the Regents canal. The accomodation is bright and spacious and can be found in excellent decorative condition. Located at the junction of Warwick Avenue and Maida Vale and is within a close walking distance to t...,"£6,000,000",17/06/2020,"Fox Gregory, St. Johns Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75037/61338984/75037_103266000212_IMG_01_0000_max_476x317.jpg
Land for sale,"Great West Road, Isleworth, Middlesex, TW7","Located fronting Great West Road (A4) on the ""Golden Mile"". Planning consent for residential & commercial development. Two separate buildings. Consent for 15 flats. No social housing. GIA 2,498m2 of mixed commercial space. Site area 2149m2. Travelcard Zone 4. Syon Lane Station 4-minute walk","£6,000,000",,"Andrew Pennell, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189029/86981861/189029_GreatWestRoad_IMG_03_0000_max_476x317.png
6 bedroom detached house for sale,"Springfield Road, St John's Wood, London, NW8","A six bedroom house for sale in St John's Wood, NW8 A double fronted low built detached family home discretely positioned on Springfield Road. This house benefits from being arranged over three floors which are all above ground. You are greeted by vast open plan entertaining space on the ground...","£6,000,000",06/11/2019,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/73767475/65830_SJW150351_IMG_01_0002_max_476x317.jpg
5 bedroom terraced house for sale,"Royal Avenue, London","A very well presented bright five bedroom freehold house in stunning decorative order, with a double height conservatory, classic first floor drawing room and sunny west-facing garden, in this prime Chelsea location.","£6,000,000",28/06/2019,"Strutt & Parker, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54853/65850905/54853_LCD170050_IMG_26_0001_max_476x317.jpg
6 bedroom house for sale,"Ordnance Hill, St John's Wood, London, NW8 ","A neo-Georgian double fronted DETACHED house located on the favoured East side of St Johns Wood, arranged over 4,635sqft / 430.6sqm (GIA) on 2 FLOORS ONLY and in need of refurbishment. The house and gardens are set discreetly behind a high brick wall with a 100ft frontage on Ordnance Hill, adjace...","£6,000,000",01/06/2020,"Arlington Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195398/70832256/195398_29673294_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Denewood Road, London, N6",Vacant and Viewable today! Are you still looking for a great place to raise your family? This house is vacant and viewable today! Beautiful house with South-West facing garden. All bedrooms have ensuite bathrooms. It is ideally located close to the best Highgate school.,"£6,000,000",11/05/2020,"Keller Williams Prime Properties, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146753/95481785/146753_PNM200001_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"Jaeger House, Chelsea Creek, London","A duplex penthouse apartment, totalling nearly 5,000 sq ft, offering incredible interiors and sizeable entertaining space externally, divided into a series of different outdoor zones including an al fresco kitchen, dining and relaxation area and two outside covered spaces.This apartment in Chel...","£6,000,000",04/06/2019,"Prime London, Central and Riverside",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109135/62789133/109135_8162712_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Camlet Way, Hadley Wood, Herts","We are privileged to present what is undoubtedly one of Hadley Wood's finest family residences situated on the south side of Camlet Way. This home has been owned by the current family for over 30 years and has been designed with family living and entertaining in mind. The indoor leisure pool, spa...","£6,000,000",17/06/2019,"Statons, Hadley Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88409/72347761/88409_28864727_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Royal Avenue, Chelsea, London, SW3","An immaculate 5 bedroom Chelsea house A very well presented, bright 5 bedroom freehold house in stunning decorative order, with a double height conservatory, classic first floor drawing room and sunny west-facing garden, in this prime Chelsea location. Approximately 266.62 sq m (2,870 sq...","£6,000,000",28/06/2019,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/47978409/65827_SLA120045_IMG_14_0003_max_476x317.jpg
5 bedroom house for sale,"Grove End Road, St John's Wood, London, NW8","DEVELOPMENT OPPORTUNITY An opportunity to create a new luxury development in the heart of St John’s Wood. The existing property comprises a single L-shaped house extending to 681 sq m/7,330 sq ft GIA over ground and first floors on a site of 0.076 hectares (0.187 acres). Plannin...","£5,999,950",06/07/2020,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/81792553/84235_RGS170296_IMG_01_0000_max_476x317.jpg
2 bedroom apartment for sale,"Becmead Avenue, London, SW16","A beautifully well-kept two double bedroom period conversion flat. The property comprises a master bedroom, a second double bedroom, shower room, a large reception room overlooking the front of the house and a separate eat in kitchen. Becmead Road is in a prime location just off Streatham Hi...","£400,000",01/07/2020,"Townends, Streatham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5876/78262594/5876_STM200038_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Lambourne Avenue, Wimbledon, SW19",A stunning and unique newly built property of approx 6313 sq ft (586.5 sq m) which has been meticulously designed using the best materials sourced from all over the world located in this quiet cul-de-sac within easy reach of both Wimbledon Village and Wimbledon Park.,"£5,995,000",13/07/2020,"Robert Holmes & Co, Wimbledon - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/73k/72698/79987216/72698_WIM130191_IMG_01_0000_max_476x317.jpg
House for sale,"The Mount, Hampstead Village","A Grade II listed five bedroom family house set behind a deep walled front garden, in an elevated yet secluded setting in the heart of Hampstead Village with a double garage.","£5,995,000",10/08/2020,"Dexters, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/19k/18927/95922098/18927_29894082_IMG_01_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"St Johns Studio, Harley Road, London, NW3","A deceptively spacious semi-detached house (367.3 sq m/3,954 sq ft) arranged over three floors only, non-basement and provides outstanding and well planned accommodation with high ceilings and an impressive principal bedroom suite. The house benefits from a delightful rear garden and secure ...","£5,995,000",03/07/2020,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/81675934/84235_RGS200124_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"Television Centre, Wood Lane, London W12",Breathtaking south-facing penthouse by Archer Humphryes,"£5,995,000",31/03/2020,"Strutt & Parker, London - New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96919/78598474/96919_LNW200025_IMG_09_0000_max_476x317.jpg
6 bedroom detached house for sale,"Ingram Avenue, Hampstead Garden Suburb, London, NW11",A substantial double fronted detached house being one of a select few houses that back directly onto Hampstead Golf Course.,"£5,995,000",09/02/2018,"Savills, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48928/83473991/48928_HAH160248_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Lambourne Avenue, Wimbledon, London, SW19","An exceptional and unique newly built six bedroom property with a lift, offering an unrivalled level of presentation throughout.","£5,995,000",07/08/2020,"Savills, Wimbledon",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48970/72396939/48970_WMS200182_IMG_01_0000_max_476x317.jpg
Land for sale,"Winnington Road, N2","An opportunity to acquire a cleared freehold site of approximately 0.38 acre sold with the benefit of a fully consented planning permission for a magnificent 15,800 sq ft (1,470 sq m) mansion, including a spa & swimming pool, on one of Kenwood’s most sought after turnings. The proposed p...","£5,995,000",,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/72505594/190037_28885472_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Wood Lane, London, W12","Known by many in the industry for their 'maximalist' approach to design, Archer Humphryes Architects - the same team behind the renovation of Chiltern Firehouse - have once again created a mind-blowing, one-off space at this three-bedroom penthouse apartment in Stanhope's Television Centre. ","£5,995,000",14/02/2020,"Domus Nova, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/29k/28746/62778147/28746_televisioncentre1_IMG_04_0000_max_476x317.jpg
4 bedroom apartment for sale,"York Terrace West, Regent's Park, London, NW1","An exceptional 4 bedroom (263 sq m/2,840 sq ft) lateral apartment situated in an elegant Nash terrace benefiting from spacious accommodation including an indulgent master bedroom with en-suite bathroom overlooking the lakes of Regents Park. York Terrace West is accessed via secure gat...","£5,995,000",18/06/2020,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/76598152/84235_RGS180277_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Ingram Avenue, Hampstead Garden Suburb, London, NW11","Possibly one of the last opportunities to acquire an ?undeveloped? handsome double fronted detached family home (412 sq m/4,435 sq ft) set behind a carriage drive and abutting Hampstead Golf Club in this sought after location. The house is presented in very good decorative order havin...","£5,995,000",06/04/2018,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/64802404/84235_FRS110029_IMG_04_0000_max_476x317.jpg
3 bedroom apartment for sale,"Basil Street, SW3","A beautifully presented, three bedroom lateral apartment on the first floor (with lift) of this portered mansion block, located on Basil Street, just moments from Harrods. The accommodation includes a spacious entrance hall, two inter-connecting reception rooms, a large kitchen/breakfast room and...","£5,975,000",23/07/2020,"Harrods Estates, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/136k/135008/82597069/135008_KNI200032_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Connaught Square, Connaught Village",An exciting and rare opportunity to acquire this magnificent Grade II listed Freehold Georgian townhouse in the prestigious Connaught Square.,"£5,950,000",03/08/2020,"Dexters, Westbourne Grove",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128932/83046178/128932_29869343_IMG_01_0000_max_476x317.jpg
2 bedroom detached house for sale,"Pembridge Villas, Notting Hill, London, W11","Pavilion is a home of distinction; a story of natural material and its architects, engineers, artisans, artists, and curators.","£5,950,000",26/10/2018,"Savills, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89770/73059025/89770_NOH180056_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"Albert Hall Mansions, Kensington Gore, Knightsbridge, London, SW7","Enviably located, this expansive, lateral four double bedroom luxury apartment is arranged on the ground floor (with a private entrance) of a handsome red brick building with high ceilings and period features.","£5,950,000",22/11/2017,"Foxtons, South Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15942/70089699/15942_1041931_IMG_01_0001_max_476x317.jpg
4 bedroom mews house for sale,"Oldbury Place, London, W1U","A deceptively spacious superbly presented home discreetly situated in a quiet cobbled mews just off Marylebone High Street. This newly refurbished contemporary house comprising 275sq m/2,961sq ft is arranged over five floors providing light and well planned accommodation. Oldbury Plac...","£5,950,000",06/07/2020,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/77472823/84235_RGS200028_IMG_12_0000_max_476x317.jpg
7 bedroom flat for sale,"Baker Street, Marylebone","A voluminous lateral apartment for sale in Chiltern Court a prestigious portered block on Baker Street. Occupying a corner site, the home offers un paralleled entertaining and living space","£5,950,000",05/07/2019,"Kinleigh Folkard & Hayward - Sales, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55507/72733372/55507_2179612_IMG_05_0000_max_476x317.JPG
4 bedroom semi-detached house for sale,"Warwick House Street, London, SW1Y","A freehold townhouse for sale in St James's Located in the heart of St James's, this exceptional and grand Grade II listed four bedroom property offers stylish and contemporary living, spa and gym facilities, outside space and a lift to all floors. An impressive freehold property in St James'...","£5,950,000",24/07/2020,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/83257751/65815_WER160081_IMG_01_0003_max_476x317.jpg
4 bedroom apartment for sale,"Horizons Court, West Heath Road, Hampstead NW3","A unique four bedroom apartment located in the heart of Hampstead, one of London`s most sought after areas. The stunning property offers an excess of 3000 sq ft of bright and spacious luxury living space, ideal for family living and entertaining.","£5,950,000",11/05/2018,"Rokstone, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176396/73134275/176396_2289_IMG_24_0000_max_476x317.jpg
2 bedroom flat for sale,"The Knightsbridge, Knightsbridge, London","A superb south facing two bedroom lateral apartment with balcony, parking, gym and concierge.","£5,950,000",19/05/2019,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/81906164/44264_SLN160147_IMG_04_0000_max_476x317.jpg
4 bedroom property for sale,"Ennismore Gardens, Knightsbridge, SW7","In arguably one of the finest locations in prime Central London we are delighted to bring to the market a quite exceptional four/five bedroom maisonette of approximately 3,166 sq ft /294 sq m. This rare property is located in Knightsbridge’s finest garden square and has beautiful views opposite o...","£5,950,000",14/02/2020,"Suffolk Coastal , Saxmundham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184535/83718488/184535_TIM48-t-290_IMG_17_0000_max_476x317.jpg
3 bedroom house for sale,"Pembridge Villas, London, W11","Pavilion is a home of distinction; a story of natural material and its architects, engineers, artisans, artists, and curators. A pioneering monument of contemporary design from acclaimed architect Gianni Botsford. ","£5,950,000",22/10/2018,"Domus Nova, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/29k/28746/76583624/28746_thepavilionpembridgevillas_IMG_00_0000_max_476x317.jpg
3 bedroom flat for sale,"South Audley Street, London, W1K","A spacious and grand lateral apartment in the heart of the Mayfair village Set on the third floor of a traditional period building, this lateral apartment of 1,933 sq ft comprises a grand open plan reception/dining room, with a large bay window allowing for plenty of natural light and views over...","£5,950,000",31/05/2019,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/83299982/65815_WER140155_IMG_01_0002_max_476x317.jpg
4 bedroom detached house for sale,"Kenmont Gardens, London, NW10","A breath taking conversion of St Jude's Hall into a grand and luxurious four bedroom home. Nestled at the end of a quiet road, the original beauty of the church's exterior gives way to a palatial interior. Stepping through the original church doors, the property unfolds into the grand main livin...","£5,950,000",27/07/2020,"Knight Frank, Queens Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138212/82777054/138212_QPK180138_IMG_01_0001_max_476x317.jpg
3 bedroom terraced house for sale,"Eaton Mews North, Belgravia, London, SW1X","The London Broker is delighte to present this spacious freehold three bedroom and study mews in an exclusive private cul-de-sac. This is a rare lateral house, with four windows across the front.","£5,950,000",24/05/2020,"The London Broker, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174521/92669213/174521_CWS200004_IMG_07_0000_max_476x317.jpg
8 bedroom semi-detached house for sale,Fox Hill Crystal Palace SE19 2UU,Very substantial Victorian family house elegantly refurbished and finished with extensive accommodation that includes a self-contained flat on the lower ground floor.,"£2,985,000",07/07/2020,"Harvey & Wheeler, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51912/81829549/51912_184_HWHE_IMG_01_0000_max_476x317.jpg
6 bedroom semi-detached house for sale,"Chester Street, Belgravia, SW1X",**Video tour available** A substantial end of terrace Belgravia townhouse with six bedrooms and superb entertaining space. ,"£5,950,000",16/07/2020,"Chestertons Estate Agents , Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31608/94916522/31608_CHE190057_IMG_04_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Walpole Street, London","A superb part white stucco fronted five bedroom period house with well-arranged family living accommodation and a west facing garden and, unusually, a roof terrace.","£5,950,000",02/03/2020,"Strutt & Parker, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54853/68773716/54853_LCD200017_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Castelnau, Barnes, London, SW13",Elegant and outstanding Grade II Regency villa.,"£5,950,000",06/01/2020,"Savills, Barnes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48904/88064741/48904_BRS160109_IMG_01_0000_max_476x317.jpg
4 bedroom penthouse for sale,"Abbey Lodge, Park Road, St John's Wood, London, NW8",An exceptionally presented four bedroom penthouse apartment set on the fifth floor of this well regarded purpose built portered block,"£5,950,000",15/05/2020,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/70534842/78202_STS200053_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Carlton Hill, St Johns Wood, London, NW8",A well-presented house (319.02 sq m / 3434 sq ft) with off street parking for two cars and a delightful south facing garden with a patio area. The house offers spacious and well planned accommodation with excellent entertaining rooms. Carlton Hill is situated close to The American Scho...,"£5,950,000",05/08/2020,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/72321348/84235_RPS010038_IMG_01_0000_max_476x317.jpg
4 bedroom end of terrace house for sale,"Warwick House Street, St James's, London","Located in the heart of St James's, this exceptional and grand Grade II listed four bedroom property offers stylish and contemporary living, spa and gym facilities and lift to all floors.","£5,950,000",24/07/2020,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/83555831/44264_SLN190007_IMG_39_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Neville Street, London","A superb family house offering vast and flexible living space, incl separate office, two dining rooms, first floor drawing room, sitting room/snug and large patio garden. Found on a wide, leafy and quiet street in the heart of South Kensington","£5,950,000",05/08/2020,"Strutt & Parker, South Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154907/82133962/154907_SOK200038_IMG_19_0000_max_476x317.jpg
3 bedroom apartment for sale,"De Vere Gardens, Kensington, London, W8","This apartment is positioned on the top two floors (third & fourth) and totals 185 sq m(1,993 Sq Ft). The accommodation is impressive and includes a substantial 36’ reception room, kitchen/breakfast room and cloakroom on the third floor whilst upstairs is the master bedroom suite and tw...","£5,950,000",06/07/2020,"Russell Simpson, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204992/94461467/204992_KEN200015_IMG_01_0000_max_476x317.jpg
6 bedroom town house for sale,"Connaught Square, Hyde Park, W2","A rare opportunity to acquire a magnificently restored freehold Georgian townhouse on the sought-after Connaught Square, located moments from the open spaces of Hyde Park. Extending over 4,306 sq ft, this imposing family home has many of its original features.","£5,950,000",10/07/2020,"Greater London Properties, Bloomsbury",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153329/71771526/153329_10002688_GLON_IMG_01_0000_max_476x317.jpg
3 bedroom terraced house for sale,"Alexander Square, South Kensington, SW3","A magnificently proportioned Grade II Listed family house situated on a garden square, with off-street parking and generous west-facing garden. This elegant family house is situated on a private road in Knightsbridge and enjoys green views, both front and rear, overlooking the private...","£5,950,000",04/11/2019,"Russell Simpson, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46451/66153966/46451_RUS190228_IMG_01_0000_max_476x317.jpg
4 bedroom mews house for sale,"Grosvenor Crescent Mews, Belgravia,  London, SW1X","A particularly wide 4 bed mews house for sale in Belgravia, SW1 Located in Grosvenor Crescent Mews which is a secure gated mews in Belgravia, this is a superb 4 bedroom property with the added benefit of a garage and patio garden. Accommodation which covers approximately 242 sq m (2,613 sq ft) ...","£5,950,000",24/06/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/81282340/94745_BGV012032355_IMG_01_0001_max_476x317.jpg
4 bedroom apartment for sale,190 Strand London WC2R,A fantastic opportunity to purchase a four bedroom apartment (Approx 2343 sq ft). Situated in Covent Gardens Wren House within the renowned 190 Strand development WC2. With parking included and a wealth of local amenities on the doorstep 190 Strand presents a luxury lifestyle in The Heart Of London.,"£5,950,000",06/07/2020,"JLL, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212384/81761407/212384_P107372_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"One Kensington Gardens, 4 De Vere Gardens, London, W8",Positioned on the top two floors (3rd & 4th) with a substantial 36’ reception room and three bedroom suites.,"£5,950,000",08/07/2020,"Savills, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48934/94583072/48934_KEH200025_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Connaught Square, Hyde Park","An exquisite 6 bedroom, 4099 sq ft Grade II Listed house set within one of London’s most prestigious Georgian Garden Squares. The property showcases a mixture of period Georgian features against new modern touches. Boasting high ceilings, intricate cornices, and original paned glass window...","£5,950,000",11/07/2020,"Manors, London - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85331/71781678/85331_BAK200288_IMG_16_0000_max_476x317.jpg
4 bedroom end of terrace house for sale,"Kenmont Gardens, London NW10","The spectacular frame of a converted Gothic church in Kensal Green has been redesigned internally to provide a four-bedroom home of stunning proportions and volume. It spans over 6,000 sq ft, with much of the living space contained within a breathtaking central hall that opens onto an enclosed co...","£5,950,000",27/07/2020,"The Modern House, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65243/72129414/65243_TMH77952_IMG_01_0001_max_476x317.jpg
3 bedroom apartment for sale,"Southbank Place, London, SE1","David from Agent & Homes is proud to present this magnificent lateral 3 bedroom, 3 bathroom located on the 9th floor of Belevedere Gardens within the prestigious Southbank Place Development.","£5,950,000",29/01/2020,"Agent & Homes, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193406/77096977/193406_309_IMG_01_0000_max_476x317.jpg
2 bedroom flat for sale,"Grosvenor Square, London, W1K","A beautifully presented, first-floor lateral apartment located in prestigious Grosvenor Square. EPC: C Located in the heart of Mayfair on distinguished Grosvenor Square, the apartment benefits from exceptional ceiling heights, in excess of 3.7m in the principle reception areas, making a wonderfu...","£5,950,000",28/02/2020,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/89946290/65815_WER012078233_IMG_01_0000_max_476x317.jpg
4 bedroom maisonette for sale,"Fitzhardinge Street, Marylebone, London, W1H","Superb 3,187 sq. ft. maisonette on Fitzhardinge Street, Marylebone. The property is offered in fully refurbished condition, has high ceilings throughout, multiple patios and its own internal lift. ","£5,950,000",29/06/2018,"Chestertons Estate Agents , Hyde Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31602/82257442/31602_HPK180093_IMG_14_0000_max_476x317.jpg
4 bedroom apartment for sale,"Queen's Gate Gardens, South Kensington, London, SW7","This elegant flat offers fantastically grand volume, exquisite period features and impressive large rooms, boasting 3.87 metre ceiling heights throughout. This south facing property is located entirely on the raised ground floor, with the rare privacy and security of its own front door. A sophi...","£5,950,000",19/06/2020,"Russell Simpson, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46451/71300316/46451_KEN200068_IMG_04_0000_max_476x317.jpg
6 bedroom detached house for sale,"Sheldon Avenue, London, N6","A bright and spacious Detached house located at the favored end of this highly sought-after tree lined avenue located close to Kenwood, The Heath, numerous local schools and Highgate Village. ","£5,950,000",07/01/2020,"Marcus Parfitt Residential Sales, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195101/88101734/195101_SheldonAve2020_IMG_00_0000_max_476x317.jpg
5 bedroom detached house for sale,"Springfield Road, St John's Wood, London, NW8","Five Bedroom Detached House For Sale In St John's Wood, NW8 An exceptional opportunity to purchase an existing detached lateral family home (290 sq m/3,131 sq ft) situated on a double plot located on the south side of Springfield Road. Benefiting from detailed planning consent to create an impo...","£5,950,000",12/06/2020,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/80827783/65830_SJW150050_IMG_01_0001_max_476x317.jpg
